logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,29,100627,16,6120711,1,1110,21,6121527,75,816,1,1926,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6125438,27014,340,22,6125853,75,415,1,755,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6129034,1,484,23,6129808,34120,774,1,1258,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6133331,27014,338,24,6133613,75,282,1,620,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6137625,1,408,25,6137928,75,303,1,711,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6141410,27014,843,26,6142003,34120,593,1,1436,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6145176,1,577,27,6145424,75,248,1,825,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6152800,27014,148,28,6153435,34120,635,1,783,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6162273,27014,391,29,6162708,75,435,1,826,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6162288,1,406,30,6162708,75,420,1,826,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6165990,1,824,31,6166588,34120,598,1,1422,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6170155,27014,461,32,6171193,34120,1038,1,1499,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6170167,1,473,33,6171193,34120,1026,1,1499,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6174369,1,626,34,6174670,75,301,1,927,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6178614,27014,361,35,6178901,75,287,1,648,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6178630,1,377,36,6178901,75,271,1,648,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6183780,1,2102,37,6184000,75,220,1,2322,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6186976,27014,110,38,6187686,34120,710,1,820,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6191302,1,133,39,6191780,34120,478,1,611,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6198254,27014,643,40,6199122,34120,868,1,1511,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6202858,1,1296,41,6203519,75,661,1,1957,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6212488,27014,1148,42,6213745,75,1257,1,2405,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6226139,27014,358,43,6226617,34120,478,1,836,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6749492,27014,2082,1,6751058,75,1566,1,3648,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6757132,27014,1281,2,6758054,75,922,1,2203,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6764294,27014,176,3,6764872,34120,578,1,754,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6768419,1,217,4,6768943,75,524,1,741,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6772468,27014,414,5,6772667,75,199,1,613,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6776419,1,1365,6,6776780,34120,361,1,1726,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6780750,27014,212,7,6781294,34120,544,1,756,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6780768,1,230,8,6781294,34120,526,1,756,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6786832,27014,593,9,6787039,75,207,1,800,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,34,100628,16,6957020,27014,820,11,6958415,75,1395,1,2215,<b><span style='color:#005F73;'>Vashj</span></b>
19cG8bnr2K6JDVPa,42,100732,16,9798388,27014,746,1,9799814,75,1426,1,2172,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9805168,27014,895,2,9805772,27021,604,1,1499,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9807449,1,1389,3,9807743,75,294,1,1683,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9814500,27014,566,4,9814743,75,243,1,809,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9816913,1,940,5,9817151,75,238,1,1178,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9820177,1,734,6,9820607,75,430,1,1164,<b><span style='color:#990033;'>Solarian
19cG8bnr2K6JDVPa,42,100732,16,9824109,27014,694,7,9824336,75,227,1,921,<b><span style='color:#990033;'>Solarian
